zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
WOŚ Rafal,3,35,554,18923,1725,11.209,5.353,5.2563
WOŚ Rafal,3,36,541,19465,1725,11.479,5.227,5.4068
WOŚ Rafal,3,37,543,20008,1725,11.436,5.246,5.5578
WOŚ Rafal,3,38,545,20553,1725,11.394,5.266,5.7093
WOŚ Rafal,3,39,542,21096,1725,11.458,5.237,5.8599
WOŚ Rafal,3,40,542,21638,1725,11.458,5.237,6.0105
WOŚ Rafal,3,41,544,22182,1725,11.415,5.256,6.1618
WOŚ Rafal,3,42,542,22725,1725,11.458,5.237,6.3124
WOŚ Rafal,3,43,546,23271,1725,11.374,5.275,6.4643
WOŚ Rafal,3,44,549,23821,1725,11.311,5.304,6.6169
WOŚ Rafal,3,45,548,24369,1725,11.332,5.295,6.7693
WOŚ Rafal,3,46,546,24916,1725,11.374,5.275,6.9211
WOŚ Rafal,3,47,546,25463,1725,11.374,5.275,7.0729
WOŚ Rafal,3,48,546,26009,1725,11.374,5.275,7.2248
WOŚ Rafal,3,49,543,26553,1725,11.436,5.246,7.3757
WOŚ Rafal,3,50,548,27101,1725,11.332,5.295,7.528
WOŚ Rafal,3,51,546,27647,1725,11.374,5.275,7.6798
WOŚ Rafal,3,52,549,28197,1725,11.311,5.304,7.8324
WOŚ Rafal,3,53,554,28751,1725,11.209,5.353,7.9865
WOŚ Rafal,3,54,552,29304,1725,11.25,5.333,8.1401
WOŚ Rafal,3,55,694,29999,1725,8.948,6.705,8.3329
WOŚ Rafal,3,56,559,30558,1725,11.109,5.401,8.4883
WOŚ Rafal,3,57,547,31106,1725,11.353,5.285,8.6404
WOŚ Rafal,3,58,548,31654,1725,11.332,5.295,8.7928
WOŚ Rafal,3,59,544,32199,1725,11.415,5.256,8.9442
WOŚ Rafal,3,60,543,32743,1725,11.436,5.246,9.0952
WOŚ Rafal,3,61,688,33432,1725,9.026,6.647,9.2866
WOŚ Rafal,3,62,552,33984,1725,11.25,5.333,9.4399
WOŚ Rafal,3,63,571,34555,1725,10.876,5.517,9.5987
WOŚ Rafal,3,64,553,35109,1725,11.23,5.343,9.7526
WOŚ Rafal,3,65,548,35658,1725,11.332,5.295,9.9049
WOŚ Rafal,3,66,543,36201,1725,11.436,5.246,10.0558
