zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
PIOTROWSKI Marek,1,128,586,70611,1725,10.597,5.662,19.6142
PIOTROWSKI Marek,1,129,593,71204,1725,10.472,5.729,19.7789
PIOTROWSKI Marek,1,130,580,71785,1725,10.707,5.604,19.9402
PIOTROWSKI Marek,1,131,619,72405,1725,10.032,5.981,20.1124
PIOTROWSKI Marek,1,132,596,73001,1725,10.419,5.758,20.2782
PIOTROWSKI Marek,1,133,584,73586,1725,10.634,5.643,20.4405
PIOTROWSKI Marek,1,134,604,74191,1725,10.281,5.836,20.6085
PIOTROWSKI Marek,1,135,639,74830,1725,9.718,6.174,20.7862
PIOTROWSKI Marek,1,136,627,75458,1725,9.904,6.058,20.9606
PIOTROWSKI Marek,1,137,694,76153,1725,8.948,6.705,21.1535
PIOTROWSKI Marek,1,138,600,76754,1725,10.35,5.797,21.3204
PIOTROWSKI Marek,1,139,610,77364,1725,10.18,5.894,21.49
PIOTROWSKI Marek,1,140,869,78233,1725,7.146,8.396,21.7315
PIOTROWSKI Marek,1,141,715,78948,1725,8.685,6.908,21.9301
PIOTROWSKI Marek,1,142,748,79697,1725,8.302,7.227,22.1381
PIOTROWSKI Marek,1,143,652,80350,1725,9.525,6.3,22.3194
PIOTROWSKI Marek,1,144,654,81005,1725,9.495,6.319,22.5013
PIOTROWSKI Marek,1,145,652,81657,1725,9.525,6.3,22.6825
PIOTROWSKI Marek,1,146,687,82345,1725,9.039,6.638,22.8736
PIOTROWSKI Marek,1,147,717,83062,1725,8.661,6.928,23.0729
PIOTROWSKI Marek,1,148,721,83784,1725,8.613,6.966,23.2733
PIOTROWSKI Marek,1,149,798,84583,1725,7.782,7.71,23.4952
PIOTROWSKI Marek,1,150,1055,85638,1725,5.886,10.193,23.7885
